abysmal
adverse
alarming
angry
annoy
annoying
anxious
apathy
appalling
atrocious
awful
bad
banal
barbed
belligerent
bemoan
beneath
boring
broken
callous
can't
clumsy
coarse
cold
cold-hearted
collapse
confused
contradictory
contrary
corrosive
corrupt
crazy
creepy
criminal
cruel
cry
cutting
dead
decaying
damage
damaging
dastardly
deplorable
depressed
deprived
deformed
deny
despicable
detrimental
dirty
disappoint
disappointed
disease
disgusting
disheveled
dishonest
dishonorable
dismal
distress
dont
don't
dreadful
dreary
enraged
eroding
evil
fail
faulty
fear
feeble
fight
filthy
foul
frighten
frightful
frustration
fuck
gawky
ghastly
grave
greed
grim
grimace
gross
grotesque
gruesome
guilty
haggard
hard
hard-hearted
harmful
hate
hideous
homely
horrendous
horrible
hostile
hurt
hurtful
icky
ignore
ignorant
ill
immature
imperfect
impossible
inane
inelegant
infernal
injure
injurious
insane
insidious
insipid
issue
issues
jealous
junky
lose
lousy
lumpy
malicious
mean
menacing
messy
misshapen
missing
misunderstood
moan
moldy
monstrous
naive
nasty
naughty
negate
negative
never
no
nobody
nondescript
nonsense
not
noxious
objectionable
odious
offensive
old
oppressive
pain
perturb
pessimistic
petty
plain
poisonous
poop
poor
prejudice
problem
questionable
quirky
quit
reject
renege
repellant
reptilian
repulsive
repugnant
revenge
revolting
rocky
rotten
rude
ruthless
sad
savage
scare
scary
scream
severe
shit
shoddy
shocking
sick
sickening
sinister
slimy
smelly
sobbing
sorry
spiteful
sticky
stinky
stormy
stressful
stuck
stupid
substandard
suck
sucks
suspect
suspicious
tense
terrible
terrifying
threatening
ugly
undermine
unfair
unfavorable
unhappy
unhealthy
uninspired
unjust
unlucky
unpleasant
upset
unsatisfactory
unsightly
untoward
unwanted
unwelcome
unwholesome
unwieldy
unwise
upset
vice
vicious
vile
villainous
vindictive
wary
weary
wicked
woeful
worse
worst
worthless
wound
yell
yucky
zero
